Last_Watched,Frequent_Watch,Reason_of_Watch,Frequent_Go_Cinema,Factors,  underrated geners, Action_Rate,Adventure_Rate,Comedy_Rate,Drama_Rate, Romance_Rate,Horror_Rate,Sci-fi_Rate,Musical_Rate,Family_Rate,Search_Before_Watch,Ads_effect,Usually_Disappoint,Cast,Genre,Director,Studio ,Reviews,Quality_ Story,Watching_Place,Why watching  home instead of cinema?, setup watching home, usuall way to watch movies at home, favorite Streaming Platform, Age, Major, Gender.,Critical Reviews,Friends' Opinions ,Internet Sites,TV Entertainment Programs
Less than a week,More than four times,Social Media,Once or Twice a year,Genre,Family,3,5,5,4,2,5,2,5,5,Usually ,Viral Videos,Sometimes,5,5,2,4,5,5,Home,It's affordable,No ,On TV,Stremio,20,Data Science,Female,0,0,0,0
Less than a week,Three or four times,Social Media,Once or Twice a year,Quality of Story,No,3,4,5,5,5,1,3,1,5,Usually ,Internet Sites,Sometimes,5,5,2,1,4,5,Home,Because it is something available at any time I want to watch ,"No , I watch in my lab or tab or phone at any room with some sweets",Downloaded from the Internet,Egybest,20,Data Science,Female,0,0,0,0
This month,Once or twice,Social Media,Once or Twice a year,Quality of Story,biography and documentaries ,5,4,4,5,4,3,3,2,5,Usually ,Viral Videos,Usually,5,4,5,3,5,5,Home,"Because it's much easier 
 for example I can pause the movie whenever I want","I usually use my laptop on my bed , in a dark room",Downloaded from the Internet,Egybest :(  ,19,Data Science,Male,0,0,0,0
Less than a week,Once or twice,Social Media,Once a month,Acting,I don't remember things now,4,4,5,3,2,2,4,1,4,Sometimes,Internet Sites,Usually,2,4,2,3,4,4,Home,More comfortable,Nop,Downloaded from the Internet,Egybest????,20,Data Science,Male,0,0,1,0
I don't watch movies often,Less than once,Trailers,Once or Twice a year,Genre,,3,2,4,1,1,2,3,1,2,Usually ,Trailers,Sometimes,2,5,1,1,4,4,Home,Saving time and money.,,Downloaded from the Internet,Not specified ,19,Engineering ,Male,0,0,0,0
Less than a week,Three or four times,Social Media,Once or Twice a year,Directing,Musicals,2,3,3,4,4,1,3,3,4,Usually ,Internet Sites,Sometimes,3,1,4,3,2,4,Home,It's more fun and comfortable ,No just on my laptop ,Downloaded from the Internet,Myflixer,19,Space Technology,Female,0,0,0,0
Less than a week,Less than once,Social Media ,I don't go to the Cinema,Acting,I think no,5,5,4,3,4,5,3,3,3,Sometimes,Viral Videos,Sometimes,5,5,5,5,5,5,Home,i love my home,my TV,On TV,mbc2,19,Business,Male,0,0,1,0
I don't watch movies often,Less than once,Trailers,Once or Twice a year,Quality of Story,No,1,4,5,4,5,1,5,5,3,Usually ,Trailers,Never,3,5,1,1,5,5,Home,I don't prefer it I am just too lazy to go to the cinema,No,Downloaded from the Internet,,21,Space Technology,Female,0,0,0,0
Less than a week,Once or twice,Social Media,Once a month,Genre,Idk,5,5,3,5,4,2,4,2,3,Sometimes,Internet Sites,Sometimes,4,3,5,5,3,4,Home,more comfortable ," laptop , no",Downloaded from the Internet,Netflix ,21,Data Science,Female,0,0,1,0
Less than a week,Once or twice,Social Media,Once or Twice a year,Quality of Story,Fantasy,3,4,4,4,2,2,5,5,2,Usually ,Internet Sites,Sometimes,4,1,5,2,2,3,Home,I like that kind of entertainment with being alone,Just nothing only me and my phone/TV/Laptop ,Downloaded from the Internet,Cimaclub,19,Space Technology,Female,0,0,1,0
This month,Three or four times,Social Media,Once or Twice a year,Acting,no,5,5,2,4,2,3,5,1,2,Sometimes,Viral Videos,Sometimes,4,5,3,1,1,5,Home,"Because , I'm lazy and it's more comfortable that way.",my laptop,Downloaded from the Internet,pass,19,Data Science,Male,0,0,0,0
This month,Once or twice,Trailers,I don't go to the Cinema,Quality of Story,Historical movies ,2,4,5,1,4,5,1,1,2,Usually ,Trailers,Sometimes,5,5,1,4,4,5,Home,To Save the time,I watch movies on my phone or tablet and usually watch them in my room. ,Downloaded from the Internet,shahid- Telegram channels -   different websites on Google search ,20,Teaching,Female,0,0,0,0
Less than a week,Once or twice,Social Media,Once or Twice a year,Genre,Historical,2,3,3,3,3,3,3,2,1,Usually ,Trailers,Sometimes,5,5,1,1,5,5,Home,Jusy more comfy,Labtop,Downloaded from the Internet,Livecima4u,21,Intelligent Systems,Female,0,0,0,0
Less than a week,Once or twice,Social Media,Once or Twice a year,Quality of Story,Sci-fi ,3,4,3,2,1,3,4,1,3,Usually ,Internet Sites,Sometimes,4,4,2,2,3,4,Home,Not restricted to a Time plan ,On my phone or TV ,Downloaded from the Internet,Netflix ,21,Data Science,Male,0,0,0,0
Last Month,Once or twice,Social Media,More than once a month,Quality of Story,Drama ,1,3,3,3,2,1,4,1,4,Usually ,Trailers,Sometimes,4,5,2,2,4,5,Home,Comfort zone,Laptop and headset,Downloaded from the Internet,Egybest,21,Data Science,Female,0,0,0,0
I don't watch movies often,Less than once,Recommended ,I don't go to the Cinema,Quality of Story,May be some romantic movies,3,5,5,3,1,2,1,3,5,Usually ,Internet Sites,Sometimes,5,5,5,5,5,5,Home,More comfortable ,No ,Downloaded from the Internet,Egypest ,22,Data Science,Female,0,0,0,0
Less than a week,More than four times,Recommended ,I don't go to the Cinema,Directing,Drama,1,2,3,5,4,1,4,1,1,Usually ,Viral Videos,Sometimes,2,3,5,1,3,5,Home,"more comfy, less expensive","no setup, just my pc and I",Downloaded from the Internet,the pirate bay,21,Data Science,Male,0,0,0,0
Less than a week,Once or twice,Recommended ,Once or Twice a year,Quality of Story,Comedy,5,5,5,3,2,4,4,1,3,Usually ,Trailers,Usually,3,5,5,4,4,5,Home,money and no cinema where i am at and home is more comfortable. ,no,Downloaded from the Internet,egybest,20,Data Science,Male,0,0,0,0
Less than a week,Once or twice,Recommended ,I don't go to the Cinema,Quality of Story,No,4,3,4,1,4,1,2,3,5,Sometimes,Viral Videos,Sometimes,4,4,5,3,4,5,Home,Because I love to be alone,No ,Downloaded from the Internet,From weciima website,21,Data Science,Male,0,0,0,0
This month,Once or twice,Social Media,I don't go to the Cinema,Quality of Story,No ,1,2,2,3,3,2,3,1,3,Usually ,Viral Videos,Usually,3,5,5,4,1,4,Home,I love spending time alone cozy in my bed ,no i don't ,Downloaded from the Internet,No thing in particular ,21,Data Science,Female,0,0,1,0
Last Month,Once or twice,Social Media,I don't go to the Cinema,Quality of Story,.,1,3,3,2,1,2,1,2,3,Usually ,Internet Sites,Sometimes,1,2,2,2,2,3,Home,????? ??? ,No,Downloaded from the Internet,Cimaclubs,20,Data Science,Female,0,0,0,0
Last Month,Once or twice,Recommended ,Once or Twice a year,Quality of Story,"One genre that is often overlooked is the independent film genre. Independent films are often made with a smaller budget and may not receive the same level of promotion or distribution as major Hollywood films. However, many independent films offer unique perspectives and storytelling that can be just as powerful and thought-provoking as big-budget films.
",4,3,3,3,4,4,5,2,2,Sometimes,Trailers,Sometimes,4,4,5,3,4,5,Home,Comfort at home,My TV and my bed and turn off the light,Downloaded from the Internet,EgyBest ??,22,Data Science,Male,0,1,0,0
Less than a week,Three or four times,Recommended ,Once or Twice a year,Acting,No,3,2,5,4,4,3,4,3,4,Sometimes,Internet Sites,Sometimes,4,3,2,2,5,4,Home,"less of cost
do not waste time
home is more comfortable ",my laptop only,Downloaded from the Internet,egybest,20,Data Science,Female,0,0,0,0
Less than a week,Once or twice,Trailers,I don't go to the Cinema,Acting,Horror,5,4,4,1,2,5,4,3,3,Sometimes,Trailers,Sometimes,2,5,2,4,2,4,Home,The comfort of my home is better ,"Just a screen with built in speakers, no special setup",Downloaded from the Internet,,21,Data Science,Male,0,1,0,0
